#name	rv	rverr	vsiniul	vsini	vsinierr	numstd	bestspt	binflag	beststd	CG
2MASSJ08284752-342	20.787301806035888	0.4332585242650164	nan	34.93347421294154	1.2241366311466826	8	G9V		epsFor	CG22
CD-344842B	nan	nan	l	150.0	nan	4	A1V		HD91375	CG22
CD-344836	nan	nan	l	nan	nan	6	A2V		HD106819	CG22
HD72138	nan	nan	l	150.0	nan	4	B9V		HD4622	CG22
2MASSJ08260440-343	22.771804306114944	0.6827203608240295	nan	34.89000068025808	nan	10	K4V		HD131977	CG22
TYC7143-191-1	22.5146153182167	0.20556037786232126	nan	23.962901030459978	0.5648407271492708	6	F6V		HD38393	CG22
2MASSJ08310444-350	48.28029798699459	0.14203343188199893	u	4.0	1.5535935745575484	8	K0V	SB1?	41Ara	CG22
TYC7143-998-1	nan	nan	l	150.0	nan	9	A3V		HD96568	CG22
2MASSJ08264387-342	24.81689599437733	0.956993041405788	nan	39.77799991939109	1.7266676929602116	8	K4V		HD103932	CG22
PHa92	20.086880454192265	0.9180615273662808	nan	32.467755737242854	1.8521856908450822	9	K3V		HD16160	CG22
HD71269	19.24465285497184	7.469485213676724	nan	106.45413306054174	12.81505522141016	4	B9V		HD4622	CG22
2MASSJ08250239-494	18.407804572526913	0.3097055581284077	nan	17.6974452614682	1.0005491830993685	7	G8V	SB1?	HD10700	GDC1
HD69991	nan	nan	nan	129.1112443885093	nan	8	A3V		HD216956	GDC1
2MASSJ08302738-510	10.27247015690043	0.2967165102261212	nan	8.830805987871605	1.0839050621694728	9	K3.5V		HD50281	GDC1
2MASSJ08243944-521	10.143182105272086	0.19074346955975893	nan	13.101498167316555	1.0443488460896526	8	K0V		HD26965	GDC1
2MASSJ08374576-495	10.316534258062848	0.2584919919589217	nan	10.453415141567358	1.2069144511064924	10	K1V		12Oph	GDC1
TYC8162-73-1	4.247765658030465	1.6621282744242092	nan	38.680974464904125	15.393148551685062	2	A6V	SB1?	HD168525	GDC1
CD-483672	8.733092031891172	4.046846740430851	nan	112.51541574177297	35.587780750956625	6	A3V		HD216956	GDC1
2MASSJ08323887-522	9.750005250928789	0.14358222419902705	nan	7.3323730757865055	1.9594852365189925	8	K1V		12Oph	GDC1
2MASSJ08212561-515	52.34290734747795	0.32733763734136406	nan	5.633606160861699	1.2379103942816516	7	G5V	SB1	HD111031	GDC1
2MASSJ08364848-511	0.5264436574797062	2.2329763149816904	nan	10.63323389735327	2.268879710606256	10	K3V	SB1?	HD32147	GDC1
2MASSJ08292220-505	nan	nan	l	150.0	20.378741016309053	10	K4V		HD103932	GDC1
2MASSJ08301848-510	13.322766998763907	1.8163638442635726	nan	86.65682341048567	4.2740863958754325	6	G8V		HD10700	GDC1
2MASSJ08382678-535	9.297269677284715	0.2784334425391961	nan	14.668460175148562	2.6015858260663243	9	G2V		18Sco	GDC1
HD73464	nan	nan	l	150.0	nan	6	A1V		HD65900	GDC1
HD72857	nan	nan	l	150.0	nan	9	A1V		HD91375	GDC1
CD-503373	nan	nan	l	150.0	nan	7	A2V		HIP113673	GDC1
2MASSJ08301902-510	11.910730721822153	1.5891154071198283	nan	73.85992697638132	4.616998427238235	9	G0V		HD152555	GDC1
HD71969	nan	nan	l	150.0	nan	4	B9V		HD4622	GDC1
2MASSJ08280595-495	5.734385613084743	1.6576725826083751	nan	34.24760709929343	3.782809025934326	8	K4V		HD103932	GDC1
2MASSJ08212561-515_2	-1.0340165729882596	0.21794358474591022	nan	7.235292028591542	0.6218882530418338	7	G5V	SB1	HD111031	GDC1
2MASSJ08351629-515	nan	nan	l	150.0	6.068782003641468	6	G9V		epsFor	GDC1
TYC8162-1117-1	10.044471900884108	0.21735784442296116	nan	16.733646159923385	1.7815136704950112	9	F8.5V		HD19994	GDC1
TYC8162-956-1	10.202455343313895	0.2954062914603683	nan	25.853835524404143	2.5097503156779957	9	F6V		HD38393	GDC1
TYC8568-260-1	9.212462452670215	0.7248428736204071	nan	44.91230871785789	2.0390694803745717	6	F6V		HD30652	GDC1
TYC8568-293-1	10.967941053162553	0.25311100478124726	nan	27.664863765964867	2.4259048384963773	9	F6V		tauPsA	GDC1
TYC8568-298-1	8.526710770854733	0.4459558238254646	nan	37.455389843323545	2.52105810092416	6	F6V		HD30652	GDC1
2MASSJ08284436-505	9.882031573138445	0.7734118304539536	nan	33.29185066952254	1.4204409481079303	6	G9V		epsFor	GDC1
2MASSJ08312740-512	10.31901654081524	0.22122618506450595	nan	11.926945115172302	0.7427283803736008	8	G5V		HD90156	GDC1
2MASSJ08281901-522	10.398753187827996	0.1240909553164777	nan	6.488048862565578	0.6912600748719812	8	G5.5V		HD21019	GDC1
2MASSJ08223071-492	8.5035334561649	0.30178895165404207	u	4.0	1.6851922402598136	8	G9V		epsFor	GDC1
2MASSJ08283563-513	10.983196805565642	0.21199532260712922	nan	21.473392368332455	0.5901243671245676	8	G3V		HD59967	GDC1
2MASSJ08170374-503	11.909234000036337	0.6881455502980424	nan	21.664910438001062	1.327004931793556	10	K4V		HD103932	GDC1
TYC8157-1137-1	10.885365523094558	1.0935192289943458	nan	52.91964616252894	3.929899430064961	6	F6V		tauPsA	GDC1
TYC8161-1607-1	11.744828179660669	3.2931979644162244	nan	88.81256176904638	2.439527013438121	3	F1V		alfCrv	GDC1
TYC8158-1417-1	13.511943267064353	4.405979254402168	nan	100.93392106101182	5.067396684367977	3	F1V		alfCrv	GDC1
HD71789	nan	nan	l	150.0	nan	9	A1V		HD65900	GDC1
CD-493560	10.307944001981665	2.305075162972496	nan	22.18745203872478	nan	5	A7V		73Vir	GDC1
