#name	rv	rverr	vsiniul	vsini	vsinierr	numstd	bestspt	binflag	beststd	CG
2MASSJ07262982-443	5.5891848433072395	0.14483695569735344	nan	7.728049264069445	1.7648683574593793	8	K0V	SB1?	41Ara	CG1
HD57001	-0.4075363334051464	0.1809334044270999	u	4.0	3.382099388927321	7	K0III		ThetaCet	CG1
TYC8119-123-1	-0.49581420488395633	0.15094440962619277	nan	4.316970351959982	nan	9	G0V		HD34721	CG1
CD-453072	-0.06283322745020054	6.615272501417677	l	150.0	nan	8	A2V		HIP113673	CG1
TYC8124-2279-1	-0.8459315985511349	0.13715690794959517	nan	4.172736932979183	nan	11	G2V		HD38858	CG1
TYC8120-2711-1	-0.666535989581397	0.13663775617775567	nan	13.28901902469509	4.856481707792774	6	F6V		HD38393	CG1
2MASSJ07215207-452	19.642194024412547	0.10025783820327586	nan	4.970742090101276	0.7872095192437134	6	G5.5V	SB1?	HD21019	CG1
TYC8126-350-1	15.979969726636378	0.13316448888661675	u	4.0	1.2561016756021577	7	G8V	SB1?	HD10700	CG1
TYC8122-2115-1	7.92977246676152	0.16418699042178397	nan	8.524414041632875	6.249636809985991	9	G0V	SB1?	HD34721	CG1
TYC7641-169-1	17.500758097109824	0.538811930496834	nan	40.811879011823635	2.3068876527741677	6	F5V	SB1?	58Oph	CG1
2MASSJ07110162-453	0.6612276272772314	0.1314441310508046	nan	4.7307160321553985	nan	11	G2V		HD38858	CG1
CD-463007	-0.9364491283719267	1.5554579462884417	nan	66.82625361296037	17.100696015023203	5	A7V		73Vir	CG1
TYC7633-1819-1	2.4503811216788596	0.6416161941100709	nan	47.487791305033944	2.665686168220647	6	F5V		58Oph	CG1
CD-521811	11.044199094183734	1.9613607877181383	nan	56.72954464240225	4.935120103898146	4	F1V	SB1?	HD40136	CG1
2MASSJ07131040-521	29.337513082127774	0.6763729763732392	nan	6.61911657541894	0.9292486211716096	9	G2V	SB1?	HD38858	CG1
2MASSJ07122621-452	0.29204379400381525	0.11004680753714582	u	4.0	1.2679287398659786	6	G5V		HD111031	CG1
TYC8122-69-1	-0.08924580943609836	0.1502733541468546	nan	5.016614711224753	nan	9	G2V		18Sco	CG1
HD56701	-2.332431919860614	2.6473048489317312	nan	18.780433812822853	23.472311371408537	3	A6V		HD168525	CG1
2MASSJ07011787-432	nan	nan	nan	5.702012990147411	2.187863022815282	8	K2V		HD22049	CG1
2MASSJ07594022-444	22.178114028886007	0.22118975031612986	nan	11.20968662907768	0.655958182018664	9	K1V	SB1?	12Oph	CG1
2MASSJ07203642-431	16.56879174299667	0.19797884049727366	u	4.0	0.7405049391269743	9	K1V	SB1?	12Oph	CG1
HD56734	nan	nan	l	150.0	nan	7	A3V		HD96568	CG1
2MASSJ07583662-461	23.614474546910856	0.5134088730515544	nan	34.30734925898854	1.1808090584862942	9	G0V	SB1?	HD152555	CG1
TYC8123-387-1	0.3809691960584387	0.14081290256713724	nan	10.622673721513019	1.3181885526547539	8	K0V		41Ara	CG1
HD55000	15.356557944454494	9.996698297759947	nan	136.5406475519328	19.150217669935888	4	A1V	SB1?	HD91375	CG1
HD55400	-0.8700939622412363	2.615976760100834	nan	104.21673930660285	nan	7	A3V		HD216956	CG1
HD56264	-0.5316014540472133	0.3004040440401027	u	4.0	3.3964730984795106	7	K0III		ThetaCet	CG1
TYC8119-1299-1	-0.18890081145568774	0.4427091849635002	nan	18.52956591831755	1.8033711465431028	4	F5V		58Oph	CG1
HD65445	nan	nan	nan	102.49202607353814	19.38582861265305	6	A6V		HD168525	CG3
TYC8134-3161-1	18.79613537848402	2.729015423361894	nan	41.49271463507649	3.1030066994950554	4	F1V		HD40136	CG3
TYC8142-1542-1	20.761901578067672	0.3607769443498291	nan	35.80493204666125	2.5805788366679003	9	F5.5V		53Vir	CG3
2MASSJ08062540-473	21.530582548270786	0.33701976241307374	nan	26.025712890673496	0.9354795167119201	8	K0V		HD26965	CG3
TYC8133-155-1	18.97279656458294	0.763487838880775	nan	45.13564773283371	3.009540594510718	9	G0V		HD152555	CG3
2MASSJ07513612-460	20.226586812559027	1.0388525798446826	nan	28.63435755825955	1.7376334094263313	10	K0V	SB1	HD26965	CG3
2MASSJ07520153-485	20.92548272404811	1.024174386739686	nan	49.68308188147945	5.637251126303938	9	G0V		HD152555	CG3
