#name	spt	sval	achi	jd	ra	dec	exptime	barycorr	fluxavg	snr	notes
HD111631	M0V	12.0	achi200219.1172.fits	2458900.293136574	192.94241666666667	-0.8809722222222223	1200.0	19.924006808832488	23662.395	175.8614668698073	GOOD-underexposed:4924.64-57496.7
HD209290	M0.5V	11.5	achi210620.1170.fits	2459387.176730324	330.55175	1.4044999999999999	1200.0	25.122456555354837	17979.29	153.25825534008416	GOOD-underexposed:3239.646-44663.594
HD42581	M1V	11.0	achi200203.1122.fits	2458883.9664375	92.85704166666666	-21.873916666666666	1200.0	-14.076022036773011	31712.08	203.62778773967347	GOOD-underexposed:7266.239-79222.99GOOD_bestone
HD36395	M1.5V	10.5	achi201026.1188.fits	2459150.184909722	82.86683333333333	-3.6894722222222223	1200.0	19.11612344830193	66279.23	294.4701056311155	GOOD-underexposed:12435.942-173287.02GOOD_bestone
HD191849	M1.5V	10.5	achi190407.1179.fits	2458582.306355324	303.49079166666667	-45.156416666666665	1200.0	26.525063000631043	51666.336	259.9699529579222	GOOD-underexposed:13598.934-125938.46
ANSex	M2V	10.0	achi181205.1156.fits	2458459.029289352	153.07216666666667	-3.7444166666666665	600.0	28.808073491691935	6379.4355	91.12657769687495	GOODenough-M2V-underexposed:1394.852-17287.322
HD217987	M2V	10.0	achi190802.1169.fits	2458699.0411216435	346.5120416666667	-35.843222222222224	792.107	9.251135690764457	46059.254	245.44797822308203	GOOD-underexposed:9940.982-116780.56GOOD_bestone
GJ628	M3V	9.0	achicombin.GJ628.fits	2459374.0552152777	247.58091666666667	-12.671861111111111	1200.0	-4.975678972289661	39671.953	227.78002360299408	GOOD-GOODcombin-underexposed:6826.6064-142463.06
GJ581	M3V	9.0	achicombin.GJ581.fits	2459406.9609247684	229.85433333333333	-7.724388888888889	1200.0	-25.047789470131484	18436.627	155.1990522535887	GOOD-GOODcombin-underexposed:3337.544-58704.33
GJ273	M3.5V	8.5	achi200228.1124.fits	2458908.99025	111.85570833333334	5.204527777777778	1200.0	-21.111974441310497	7549.7837	99.17660252764216	GOODenough-M3.5V-underexposed:1444.7094-27610.635
GJ54.1	M4.0V	8.0	achicombin.GJ54.1.fits	2459150.0236527775	18.134541666666667	-16.995444444444445	1200.0	-12.12701969887149	6123.148	89.26692328232251	GOODcombin-underexposed:721.70917-26884.545
GJ447	M4V	8.0	achicombin.GJ447.fits	2459271.1743495367	176.944875	0.7968333333333333	1200.0	10.417506938389442	5871.181	87.40006114416585	GOODcombin-underexposed:823.10956-23906.678
GJ699	M4V	8.0	achi210524.1162.fits	2459360.2228483795	269.4565	4.753833333333334	1200.0	11.072033813385476	20604.201	164.085620710018	GOOD-underexposed:3094.5269-76991.48
GJ83.1	M4.5V	7.5	achicombin.GJ83.1.fits	2459149.100944444	30.060208333333332	13.040527777777777	1200.0	-1.1190790784262623	5751.26	86.49739582852335	GOODcombin-underexposed:656.49445-24770.312
GJ1061	M5.0V	7.0	achicombin.GJ1061.fits	2458891.9310590276	54.004083333333334	-44.51463888888889	1200.0	-13.758992329071836	2542.3965	57.28663617523166	GOODcombin-underexposed:202.48572-13144.139
HD91375	A2III	-52.0	achi190419.1134.fits	2458593.7235395834	157.57629166666666	-71.99322222222223	62.554	2.855878961600743	22598.84	171.85769047089914	GOOD-underexposed:13220.549-42994.754
HD220657	F8III	-68.0	achi190917.1150.fits	2458744.6792662037	351.3525	23.403499999999998	40.0	2.980789922056427	10575.96	117.46148339632254	GOOD-underexposed:7444.842-19718.1
HD217563	G5III	-75.0	achi210605.1164.fits	2459371.9684930556	345.3879166666667	-4.708444444444445	250.0	29.288485377732233	62869.14	286.7905890911682	GOOD:22215.34-131394.77GOOD_bestone
HD9270	G8III	-78.0	achi190922.1140.fits	2458749.807244213	22.88383333333333	15.343055555555557	30.0	12.908817424244772	25164.574	181.36594089201034	GOOD-underexposed:12095.736-50071.6GOOD_bestone
HD38529	G8III	-78.0	achi201024.1174.fits	2459147.9441851852	86.64354166666666	1.1665833333333333	350.0	21.970286754948958	60576.48	281.5097704462559	GOOD:31263.693-121614.3
HD24160	G8III	-78.0	achi190420.1116.fits	2458594.487739931	57.371375	-36.196666666666665	78.991	-4.022130358719829	30903.16	201.01094782441928	GOOD-underexposed:12039.227-64222.91GOOD_bestone
ThetaCet	K0III	-80.0	achi181106.1134.fits	2458429.637869213	21.013583333333333	-8.181166666666666	30.0	-14.053119920885905	59168.324	278.21659724854493	GOOD:25156.484-123401.79GOOD_bestone
HD201381	K0III	-80.0	achi190810.1160.fits	2458706.8584233797	317.41075	-11.374722222222223	57.626	-1.533085833445118	28293.332	192.32561225957113	GOOD-underexposed:9408.679-59974.82GOOD_bestone
HD25069	K0.5III	-80.5	achi201102.1151.fits	2459156.839731482	59.719375	-5.473638888888889	350.0	6.467311915825932	93072.36	348.9768569309777	GOOD:36380.12-195819.0
HD25723	K1III	-81.0	achi200206.1122.fits	2458886.65108912	61.09766666666667	-12.794194444444445	300.0	-25.400115983334228	52835.64	262.8973099109269	GOOD-underexposed:17504.56-113510.18GOOD_bestone
HD223807	K1III	-81.0	achi210524.1177.fits	2459360.0096932873	358.21391666666665	-8.995222222222221	200.0	27.180931145038283	57354.47	273.91629939203665	GOOD:21021.086-122555.32GOOD_bestone
HD26846	K2III	-82.0	achi200210.1116.fits	2458890.549290509	63.600791666666666	-10.259222222222222	100.0	-25.76687866164585	26283.145	185.35859899660525	GOOD-underexposed:8477.656-57624.62GOOD_bestone
HD209128	K2III	-82.0	achi210426.1171.fits	2459331.984940972	330.27079166666664	0.6063055555555555	150.0	26.012395524122343	47156.59	248.3568438934198	GOOD-underexposed:9857.903-105105.62GOOD_bestone
HD217459	K2.5III	-82.5	achi201024.1140.fits	2459147.734581019	345.18079166666666	3.007888888888889	350.0	-21.44263231760451	64350.133	290.15075417878836	GOOD-underexposed:16399.65-145321.95
chiSco	K3III	-83.0	achi200229.1177.fits	2458909.9109560186	243.46245833333333	-11.837694444444445	200.0	29.537451782785823	63171.645	287.4801201418129	GOOD-underexposed:19801.422-141440.66
HD223559	K4.5III	-84.5	achi201103.1135.fits	2459157.716957176	357.642875	-14.408277777777778	200.0	-23.04250741665908	74732.49	312.69468327736143	GOOD:20020.898-172589.92
HD168720	M1III	-89.0	achi180919.1118.fits	2458381.5327881947	275.08120833333334	21.96061111111111	40.0	-20.76374108128572	1129.9227	37.86317337731923	GOODenough-M1III-underexposed:216.80882-2667.6104
HD1879	M2III	-90.0	achi190920.1149.fits	2458747.768240741	5.777583333333333	-15.944166666666668	60.0	-0.0700785442077084	6980.464	95.34556521428787	GOODenough-M2III-underexposed:1143.3856-17930.648
HD11695	M4III	-92.0	achi190924.1152.fits	2458751.770363426	28.417458333333332	-46.30558333333333	20.0	-0.4064963156596135	7654.439	99.86485482152894	GOODenough-M4III-underexposed:1245.9152-27021.37
HD29712	M8III	-96.0	achi180919.1150.fits	2458381.891597222	69.20191666666666	-62.071222222222225	10.0	1.654024092808307	4145.645	73.34958234321309	GOODenough-M8III-underexposed:96.697266-25907.56
HD111613	B9.5I	-149.5	achi190729.1129.fits	2458694.6540550925	192.83716666666666	-60.33094444444445	172.762	-19.377660079392978	25583.268	182.87064563176895	GOOD-underexposed:12863.545-50090.863
